;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;LISTA DE PRECIOS VEHÍCULOS NUEVOS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;Nº 06 - 2026;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;1 de junio de 2026;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;Tope CE;;;2,5%;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;VEHÍCULOS PASAJEROS;LCDV;CIT;; PRECIO LISTA ;;; TODO MEDIO DE PAGO ;;;;; CRÉDITO CONVENCIONAL ;;;;;; COMPRA INTELIGENTE ;;;;;;" ? Precio 
Lista M-1 ";" ? Precio 
TMP M-1 ";" ? Precio 
CC M-1 ";" ? Precio 
CI M-1 ";; Margen Red ; Costo CE C/IVA ; Factura Neta ;;;;;;;
KEY MCV;;;;;; CON IVA ; SIN IVA ;; BONO CON IVA ; APORTE CE ; APORTE STELLANTIS ; PRECIO PROMO ;; BONO CON IVA ; APORTE CE ; APORTE STELLANTIS ; APORTE FINANCIERA ; PRECIO PROMO ;; BONO CON IVA ; APORTE CE ; APORTE STELLANTIS ; APORTE FINANCIERA ; PRECIO PROMO ;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;C3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
