;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;LISTA DE PRECIOS VEHÍCULOS NUEVOS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;Nº 06 - 2026;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;1 de junio de 2026;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;Tope CE;;;2,5%;;;;;;;;;;;;;;;;;;;;;;
;;MODELO;LCDV;CIT;; PRECIO LISTA ;;; TODO MEDIO DE PAGO ;;;;; CRÉDITO CONVENCIONAL ;;;;;; COMPRA INTELIGENTE ;;;;;;" ? Precio 
Lista M-1 ";" ? Precio 
TMP M-1 ";" ? Precio 
CC M-1 ";" ? Precio 
CI M-1 ";; Margen Red ; Costo CE ;" Factura 
Neta ";
CÓDIGO REF;;;;;; CON IVA ; SIN IVA ;; BONO CON IVA ; APORTE CE ; APORTE STELLANTIS ; PRECIO PROMO ;; BONO CON IVA ; APORTE CE ; APORTE STELLANTIS ; APORTE FINANCIERA ; PRECIO PROMO ;; BONO CON IVA ; APORTE CE ; APORTE STELLANTIS ; APORTE FINANCIERA ; PRECIO PROMO ;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;B10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
B10 BEV;;B10 BEV LIFE;B108CR1TCLLSCAC000;LP10228EL0825S00-9;; $24.990.000 ; $21.000.000 ;; $4.000.000 ; $624.750 ; $3.375.250 ; $20.990.000 ;; $4.500.000 ; $624.750 ; $3.375.250 ; $500.000 ; $20.490.000 ;; $5.000.000 ; $624.750 ; $3.375.250 ; $1.000.000 ; $19.990.000 ;;ISO;ISO;ISO;ISO;;9%; $22.740.900 ; $19.110.000 ;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;C10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
C10 BEV;;C10 BEV DESIGN;B117CR1JCLLSCAB000;LP9634EL0924S01-6;; $29.490.000 ; $24.781.513 ;; $2.500.000 ; $737.250 ; $1.762.750 ; $26.990.000 ;; $3.000.000 ; $737.250 ; $1.762.750 ; $500.000 ; $26.490.000 ;; $3.500.000 ; $737.250 ; $1.762.750 ; $1.000.000 ; $25.990.000 ;;ISO;-$500.000;-$500.000;-$500.000;;10%; $26.541.000 ; $22.303.361 ;
C10 REEV;;C10 REEV DESIGN;B1185R1MCLLSCAG000;LP9991E60525S00-1;; $30.990.000 ; $26.042.017 ;; $3.000.000 ; $774.750 ; $2.225.250 ; $27.990.000 ;; $3.500.000 ; $774.750 ; $2.225.250 ; $500.000 ; $27.490.000 ;; $4.000.000 ; $774.750 ; $2.225.250 ; $1.000.000 ; $26.990.000 ;;ISO;-$500.000;-$500.000;-$500.000;;10%; $27.891.000 ; $23.437.815 ;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
