;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;LISTA DE PRECIOS VEHÍCULOS NUEVOS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Nº 06 - 2026;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;1 de junio de 2026;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;Tope CE;;;2,5%;;;;;;;;;;;;;;;;;;;;;;;;;
;;VEHÍCULOS PASAJEROS;LCDV;CIT;;PRECIO LISTA;;;TODO MEDIO DE PAGO;;;;;CRÉDITO CONVENCIONAL;;;;;;COMPRA INTELIGENTE;;;;;;"? Precio 
Lista M-1";"? Precio 
TMP M-1";"? Precio 
CC M-1";"? Precio 
CI M-1";;Margen Red;Costo CE;Factura Neta;;;;
KEY MCV;;;;;;CON IVA;SIN IVA;;BONO CON IVA;APORTE RED;APORTE STELLANTIS;PRECIO PROMO;;BONO CON IVA;APORTE RED;APORTE STELLANTIS;APORTE FINANCIERA;PRECIO PROMO;;BONO CON IVA;APORTE RED;APORTE STELLANTIS;APORTE FINANCIERA;PRECIO PROMO;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;208 MCA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
208 MCA Style Puretech 100;;208 MCA Style Gasolina 100hp MT;1PP2A5HL6KJR2PG0003;PG9239E60823S00-7;; $18.490.000 ; $15.537.815 ;; $1.400.000 ; $462.250 ; $937.750 ; $17.090.000 ;; $1.500.000 ; $462.250 ; $937.750 ; $100.000 ; $16.990.000 ;; $5.300.000 ; $462.250 ; $937.750 ; $3.900.000 ; $13.190.000 ;;ISO;ISO;+$200.000;+$200.000;;9%; $16.825.900 ; $14.139.412 ;;;;
208 MCA ALLURE MHEV 136 EDCT6;;208 MCA Allure Hybrid 136hp AT;1PP2A5PJHWJRA0G0003;PG9496E60524S00-9;; $23.990.000 ; $20.159.664 ;; $2.400.000 ; $599.750 ; $1.800.250 ; $21.590.000 ;; $2.500.000 ; $599.750 ; $1.800.250 ; $100.000 ; $21.490.000 ;; $4.800.000 ; $599.750 ; $1.800.250 ; $2.400.000 ; $19.190.000 ;;ISO;ISO;+$200.000;+$200.000;;9%; $21.830.900 ; $18.345.294 ;;#N/D;#N/D;#N/D
208 MCA GT EV;;208 MCA GT Electric ;1PP2A5UZIFEEA0F6162;PG9495EL0424S00-1;; $26.590.000 ; $22.344.538 ;; $1.900.000 ; $664.750 ; $1.235.250 ; $24.690.000 ;; $2.800.000 ; $664.750 ; $1.235.250 ; $900.000 ; $23.790.000 ;; $4.000.000 ; $664.750 ; $1.235.250 ; $2.100.000 ; $22.590.000 ;;ISO;ISO;ISO;ISO;;9%; $24.196.900 ; $20.333.529 ;;#N/D;#N/D;#N/D
